,Artist
Bayonne,10.630110661375658
Matt Vasquez,8.458646644736843
Marcus Marr,15.536315582010582
John Digweed,78.08340747116236
Patrick Watson,24.144869336016093
Rudimental,61.3275615079365
Black Coffee,78.08340747116236
Anders Osborne,4.365079384920636
Polly A.,2.9239766151489888
Lush,85.18189905944986
Silversun Pickups,346.9861139751759
Briana Marela,12.265512301587298
Alex G,16.898739537813864
Totem,7.01754387635756
Titus Andronicus,33.52573362433862
The Vandals,72.75953877994675
Jonny Lang,36.375661541005286
Four Tet,60.50986068783068
Boz Scaggs,31.283068925264548
Lana Del Rey,230.22431275090662
Joey Bada$$,109.97284324639473
Marian Hill,182.47496635638652
Half Moon Run,98.25727300552781
Torres,10.389610447330446
Saint Motel,194.5357961266358
Rae Sremmurd,109.98834356577412
Jamie xx,100.16835054954304
Seven Lions,60.81871359509885
King Gizzard & The Lizard Wizard,42.75989731021394
Waxahatchee,8.321775335182613
Rayland Baxter,11.650485469255667
Haute,1.554907682215745
Hinds,1.8018018082368046
Goldroom,73.942620711328
Panama Wedding,26.315789536340855
Death Cab for Cutie,239.36971553200348
Red Wanting Blue,6.64451838316722
Sunflower Bean,11.111111137566143
Wolf Alice,252.30711703238586
The Dip,2.453102460317458
The Sword,44.17293247807017
Murder By Death,29.13533844298246
Dua Lipa,55.71360849821626
Digable Planets,76.08197181124646
Underworld,137.63479579208533
Girl Band,12.846068820598006
Conner Youngblood,12.010470249169437
Rick Springfield,21.38364795148248
Tor Miller,18.778005666881853
Walk The Moon,210.3322472944867
Lydia,3.3222591915836097
Bicep,12.324930074696546
Aurora,71.33818179554076
David Ramirez,13.157894780701755
Caverns,7.335907355212351
White Denim,19.129592538751027
Porches,12.403100930232558
Capital Cities,23.899371239892186
Roisin Murphy,22.522522602960102
Asteroid #4,5.6935818374741185
Frances,134.0826828907363
Foals,501.95627339180004
Slumberjack,33.9181287357282
Cassy,96.13025572655292
Boombox Cartel,33.333333412698416
Guster,62.76276292792792
AC Slater,101.33356189647688
New Order,56.75675695945946
No Traffik,3.144654110512129
Dragonette,41.2050535787172
Dreamers,5.847953230297966
Eagles of Death Metal,67.908407663287
Noe,0.0
Rogue Wave,16.11219836594912
JDH & Dave P,25.604996256830603
Salt N Pepa,20.12578630727763
Watch The Duck,13.83647808625337
Dead & Company,84.04993088534444
Flying Lotus,21.739130652173916
Ultimate Painting,5.175983488612835
Kaneholler,19.562419613899614
Boogarins,8.79917193064182
Bro Safari,84.93265152798281
White Lung,54.6127666384411
Porter Robinson,73.35907355212355
Prinze George,26.85402046448087
Julio Iglesias,43.65079384920635
AMFMs,0.815100817245819
Kings of Leon,88.84598907979408
Red Hot Chili Peppers,224.44184510608648
Arturo Sandoval,2.182539692460315
G. Love & Special Sauce,9.63455165559247
Promised Land Sound,1.5527950465838496
DJ Khaled,33.09914150273224
Goldlink,145.93583198897937
The Greeting Committee,0.5847953230298022
CeCe Winans,10.18518523148148
Oneohtrix Point Never,24.350205467721967
Blink-182,84.77048499356498
Jeremy Loops,52.11567266980538
Oscar,20.599368573729006
Shad,14.755197927565394
Hayden James,68.48878971388682
Alle Farben,22.807017598162076
Lucy Dacus,7.6023391993873615
Fireside Prophets,5.660377398921832
Ryan Adams,63.850837568764945
Robert DeLong,157.31074233079352
Piff The Magic Dragon,49.930652011095695
Sylvan Esso,5.820105965608466
G-Eazy,210.60702917563106
The Killers,100.46955515348965
Firekid,9.356725168476746
Hudson Mohawke,81.63265326530612
Big Gigantic,88.16485695140629
Fauna Shade,1.6354016402116416
Justin Martin,76.3087845740905
Jess Glynne,28.82882893178893
Netsky,31.22560519125683
The Isley Brothers,26.91798954034391
Shabazz Palaces,11.904762023809523
Elvis Costello,42.195767387566136
Keys N Krates,95.88016208032688
Judah & The Lion,63.43858240212903
Dubfire,68.02721105442177
Transviolet,21.19262124839125
Schoolboy Q,34.34816571038251
Brandi Carlile,72.24034255417844
Coleman Hell,134.52614321762994
The Joy Formidable,72.53668788459618
Dr. Teeth and the Electric Mayhem,0.0
Alabama Shakes,209.60971509055986
ANOHNI,24.649860149393092
Pinegrove,13.45029242968533
The 1975,382.9479667804139
The Dead Ships,61.5202604318249
The Heavy,70.39337491718425
AlunaGeorge,251.03871264208948
Ernest Ranglin,26.12612621943372
Cal Scruby,6.312292464008859
Speaker of the House,3.9138943411611242
Adam Devine,66.57420268146093
Courtney Barnett,155.61941882176376
Zedd,148.84062067409332
Iamdynamite,17.11711716216216
Lord Huron,276.495685328789
Gold Panda,10.64425779178338
Kendrick Lamar,65.48193094472761
Sam Hunt,63.24549254738789
Jarryd James,36.369240344942725
DMA's,66.8441291230405
Ludacris,76.61947682110682
Martin Garrix,87.71929845446951
Wild Child,27.31829584029518
Smino,14.03508775271512
The Shelters,12.35628886095266
Tame Impala,190.4803071977415
Animal Collective,22.77432734989648
Israel Nash,5.953437329720708
Fidlar,124.11768098495114
Kehlani,102.57607519926147
Tears For Fears,12.956810847176081
Stars,29.51039585513079
Viet Cong,8.963585508870214
Leggy,0.0
Kermit Ruffins,12.3677249239418
Mail The Horse,2.445302451737447
Kevin Morby,26.895129096391027
Race Banyon,5.263157907268176
Jack Ü,92.87193161342796
Santigold,20.7207207947233
Beach House,186.97575270557036
Local Natives,80.11695925508215
Casaveda,6.9182390431266825
Sam James,9.781209806949807
Holy White Hounds,1.9933555149501665
Mutemath,70.76023408660541
PRAYERS,71.5764568485655
Arlo Guthrie,32.73809538690476
Busty And The Bass,3.887269205539354
Richard Hawley,19.81981989060489
Beach Fossils,7.489597801664352
Rhye,82.81573519668737
Catfish and the Bottlemen,86.96813725585974
Caribou,87.6727946095008
Tennyson,25.20481530695851
Adia Victoria,2.8195488815789482
Oneman,14.174972491694351
Fitz & The Tantrums,97.07227479687235
Broken Social Scene,51.885337111540764
Andra Day,78.04349574536396
Steve Aoki,29.559748638814018
The Strokes,41.55844178932178
Jidenna,20.352250567514673
Alessia Cara,170.7508516199542
Con Brio,35.45297620760073
Haitus Kaiyote,66.02731335200247
Jenny Hval,14.6179403820598
Chris Botti,26.19047630952381
Coin,57.10673095441306
Flatbush Zombies,75.7892000839074
Protoje,81.51354570503288
Odesza,3.933747608695652
Madness,31.53153164414415
Diiv,33.50984248481127
Party Favor,29.824561474519633
Die Antwoord,87.13450313143971
Julia Holter,59.46231948895838
Sia,135.4560933226662
Chairlift,101.30732261321472
Sara Watkins,9.986130402219136
The Hip Abudction,5.6390977631578965
Fetty Wap,113.21615193393981
Muse ,65.7657660006435
Jlin & RP Boo,12.403100930232558
Quraishi,6.728778535196688
Rancid,91.0973087163561
Lanco,1.1695906460595933
The Lumineers,90.32122530540015
Flux Capacitor,0.0
Baroness,85.63137668929267
Thundercat,26.749220025672
Sasha,74.53416167701863
Roman Gianarthur,2.496532600554784
Ought,17.857142916666664
Allie X,2.6827632595573454
Jeff Lynne's ELO,61.26126148005148
Melody's Echo Chamber,79.26648940254363
Empress Of,14.6179403820598
St. Paul & The Broken Bones,55.451128004385964
Major and The Monbacks,4.8906049034749035
Hundred Waters,5.825242734627829
Slightly Stoopid,27.67295617250674
Dirty Dozen Brass Band,1.4550264616402122
The Brian Jonestown Massacre,19.668737256728775
Blood Orange,128.07144869107933
Houndmouth,146.84248541805903
Nicolas Jaar,20.18633560559006
Lindsey Stirling,114.87105015340148
Bakery,0.0
The Griswolds,17.221135101108935
Train,30.817610283018865
Unknown Mortal Orchestra,209.57127706171372
De La Soul,22.727272853535354
Cheat Codes,26.083226151866153
Vince Staples,518.222727840541
RL Grime,138.55152903465395
Gerd Janson,2.8011204715219415
Edward Sharpe and the Magnetic Zeros,89.32268581928423
Bonnie Raitt,39.28571446428571
Grouplove,81.84613223312599
Givers,30.68417163325924
Father John Misty,124.14180203528306
Marc Scibilia,26.898326969111963
Jason Isbell,166.1549477231015
Pearl Jam,135.8080345762701
The Black Angels,68.02331952190258
Wild Nothing,46.5391421865325
Classixx,94.74805035916316
Shellac,19.047619206349207
Methyl Ethyl,0.8480104403131149
Snoop Dogg,48.743386464947086
Mercury Rev,35.13513526061776
Sleep,20.703933954451344
Vanic,120.91576967105524
Mindie Lind,3.270803280423283
John Moreland,21.636615871474802
Lionel Richie,59.360730821917805
Joywave,72.16799781425613
Oliver Heldens,66.08187150236702
Burns,19.298245659983294
Lukas Graham,18.23899384097035
Two Door Cinema Club,277.13036799391995
Devon Baldwin,11.320754797843666
The Roots,25.157232884097034
Natalia Lafourcade,18.65622968688845
Jazz Cartier,65.56015909029944
Aaron Neville,28.373016001984126
Delicate Steve,6.211180186335405
The Staves,58.68725884169884
Jack Garratt,170.22132293670848
John Grant,32.432432548262554
Lisa Hannigan and Aaron Dessner,0.621118043478261
Diarrhea Planet,4.318936949058693
Joseph,17.98941804232804
Gibbz,25.268125334620336
Allen Stone,97.82755927544049
D.R.A.M.,46.42687812331127
Son Little,80.26485155157037
The Barr Brothers,51.31195351311953
The Hotelier,11.960133039867108
Allah-Las,14.492753768115943
The Japanese House,0.9398496271929854
Summer Cannibals,11.447811481481482
Earth Wind & Fire,130.84513124195624
Bot,11.411411441441444
Museum of Love,30.215365030307204
Tacocat,19.62481968253968
Telekinesis,32.70803280423281
Band of Horses,100.53354355555972
Lauryn Hill,30.55555569444444
Lemaitre,70.39337491718425
Hippie Sabotage,57.19339709516757
Meg Myers,69.21029298580301
Floating Points,56.24952709200797
Dead Man String Band,1.6611295957918049
Dilly Dally,18.8258805279637
Liz Vice,2.3809524404761904
The Claypool Lennon Delirium,101.3742965478882
Kaytranada,84.86992022769998
Lewis Del Mar,48.50940148644061
Bass Drum of Death,8.61056755055447
Goldfinger,19.4968554851752
Andrew McMahon in the Wilderness,4.232804338624338
Brian Wilson,41.45360920374115
Halsey,306.90072708478533
Kelela,12.885154169000932
Alina Baraz,93.15460393065997
Cypress Hill,59.08649192419824
Ben Harper & The Innocent Criminals,7.9365081349206354
Martin Courtney,13.732004601328901
Corbin,10.08403369747899
Junior Boys,16.806722829131655
Elvin Bishop,11.640211693121692
Jauz,111.5814653985611
Connell Cruise,14.67181471042471
Strangers You Know,73.04377118683298
Autolux,123.67887250674994
Chance The Rapper,51.7286368590998
Papadosio,12.48266300277393
Nothing,27.543606607522598
Whitney,15.870993372320575
Ria Mae,8.176100687331534
The Damned,81.63265326530612
Ra Ra Riot,23.74429232876712
RUFUS DU SOL,260.85033308140095
Cyndi Lauper,7.2072072329472325
Tedeschi Trucks Band,33.46560861772486
JJ Grey & Mofro,40.41353396929824
Ruler,0.8177008201058164
Mad Anthony,0.6644518383167216
Imarhan,8.281573581780536
Young Thug,21.848739677871148
Young Empires,8.04828977867203
Tangerine,0.0
Bob Moses,139.63541491244186
Arlo McKinley & The Lonesome Sound,1.3289036766334448
Major Lazer,481.77462302974095
Christine and the Queens,101.23416990512935
HAELOS,99.78924944588461
Lapsley,153.1433779699946
Ex Hex,99.67950152069665
Boom Forest,0.0
Snakehips,189.44582176950487
Sir The Baptist,25.953773389028136
The Floozies,34.951456407767
Purson,7.763975232919255
Saba,16.374269044834307
The Arcs,258.8961183786673
Diet Cig,9.398496271929822
Hi-Lo,17.10398450437318
The Head and The Heart,62.03007539473685
Disclosure,488.1890255030866
Leon Bridges,335.5259919901191
Bas Cozz Omen,36.257310027847396
Marco Carola,79.26648940254363
Galactic,21.097883693783068
BJ The Chicago Kid,15.503876162790696
Denzel Curry,7.282913225957048
Yellow Claw,73.09941537872459
Andy Stott,5.602240943043883
Art Garfunkel,39.63963978120978
Matthew Dear,67.43567008873114
M83,610.4931801086963
Eliot Sumner,1.2987013059163046
Lolawolf,41.58778834149829
Claptone,80.44957133392487
Lee Scratch Perry,18.11594221014493
The Julie Ruin,29.976580983606556
Yeasayer,131.49287395015315
Speedy Ortiz,30.97643113756613
Macklemore & Ryan Lewis,80.72122075127139
Rhiannon Giddens,21.825396924603172
Grand Theft,40.35087728905597
Atlas Genius,138.81502825921012
La Luz,33.03009406257189
Barns Courtney,6.578947390350874
Børns,163.32555652487306
Super Furry Animals,34.874091585536135
Meg Mac,14.054438781355627
Declan McKenna,4.240052201565561
Mike Mineo,3.773584932614554
The Knocks,42.24118541713037
Marshmello,50.292397780562524
Mac Demarco,112.55186085152053
Parquet Courts,51.05154215811268
Shovels & Rope,18.867924663072774
Matt Corby,48.24434838624339
Pete Yorn,82.22419423099673
Flume,305.74107277790705
Hibou,14.718614761904757
Cloves,95.34864156127007
Wet,114.24395430827109
Deadmau5,87.21578744530244
Laura Stevenson,16.302016344916346
Zella Day,68.61875202011238
Zeds Dead,61.58113748035137
Battles,1.242236086956522
The Decemberists,63.9097746491228
Ivan Neville's Dumpstaphunk,19.642857232142855
A Tribe Called Red,28.169014225352107
The Murlocs,4.658385139751552
The Underachievers,33.43051516763848
Maze,15.27777784722222
City and Colour,78.92194286343879
Hardwell,88.30409377749929
Tei Shi,69.80183395149363
Gov't Mule,34.92063507936508
Misterwives,88.57389916548513
Jahkoy,33.73205960216816
Annie Mac,50.450450630630634
Hollis Brown,13.041613075933071
Slowdive,73.85311142611964
Van Morrison,45.83333354166666
Somo,35.0877193817878
My Morning Jacket,110.28961333820664
La Mecanica Popular,3.6231884420289857
Mr. Carmack,110.75099784890106
The Internet,81.34325245261212
Skate Maloley,8.771929845446955
Lucius,98.01510370282689
Michael McDonald,29.828042463624335
Jesse Royal,10.69182397574124
Kamasi Washington,168.2601279733603
Bad Royale,32.748538089668614
Honeysuckle,0.0
LCD Soundsystem,509.10931195647703
Nina Kraviz,79.85803036823424
ZHU,161.78334073369237
Miguel,172.59475377505535
Muna,38.01169599693679
The Neighbourhood,127.14010656500422
Melanie Martinez,125.10284900634802
River Tiber,1.3413816297786703
Nicole Moudaber & Skin,76.90032553978112
Drew Holcomb and The Neighbors,44.53350376660991
3LAU,38.35616454337899
Automagik,0.3322259191583616
Lenny Kravitz,52.44618417155903
LUH,15.503876162790696
Nina Las Vegas,63.29488332889678
Shamir,156.87567762526618
Vulfpeck,19.298412338868523
Gallant,113.89641667174271
London Souls,10.837221077732943
Kiiara,31.57894744360902
J.Cole,280.6343853239618
Miami Horror,65.66104719165928
Maceo Plex,85.77344002514049
Swim Deep,30.158730238095238
Elephant Stone,2.3323615233236175
Preservation Hall Jazz Band,58.24659585859571
